照護團隊名稱／諮詢電話,醫事機構名稱,醫事機構電話,醫事機構地址,居家醫療醫療,重度居家醫療,安寧居家療護,居家呼吸照護,居家中醫醫療,居家藥事照護,在宅急症照護,近三個月有收案
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東家醫,慶仁診所,08-7341539,屏東縣屏東市永城里重慶路１９４號（地圖),1,,,,,,,1
08-7364494,,,,,,,,,,,
972896890,,,,,,,,,,,
08-7364494,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,江耳鼻喉科診所,08-7669471,屏東縣屏東市端正里中華路４９號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
寶建社區醫療團隊,振成診所,08-7322660,屏東縣屏東市林森路６０號（地圖),1,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東家醫,歐景權眼科診所,08-7361916,屏東縣屏東市自由路４１６號（地圖),1,,,,,,,
08-7364494,,,,,,,,,,,
972896890,,,,,,,,,,,
08-7364494,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東家醫,博勝診所,08-7326373,屏東縣屏東市博愛路２６３－１２號（地圖),1,,,,,,,1
08-7364494,,,,,,,,,,,
972896890,,,,,,,,,,,
08-7364494,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東家醫,梁宏志診所,08-7364494,屏東縣屏東市自由路３７９－４號（地圖),1,,,,,,,1
08-7364494,,,,,,,,,,,
972896890,,,,,,,,,,,
08-7364494,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東家醫,林俊傑診所,08-7211060,屏東縣屏東市廣東路１－７號（地圖),1,,,,,,,
08-7364494,,,,,,,,,,,
972896890,,,,,,,,,,,
08-7364494,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東家醫,正大聯合診所,08-7327015,屏東縣屏東市中正路１９１－１號（地圖),1,,,,,,,1
08-7364494,,,,,,,,,,,
972896890,,,,,,,,,,,
08-7364494,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,林長興診所,08-7236266,屏東縣屏東市華正路２３７號１樓（地圖),1,,,,,,,1
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,海豐診所,08-7387135,屏東縣屏東市海豐街３６－５號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
寶建社區醫療團隊,健丞診所,08-7530011,屏東縣屏東市華盛街１－３０號（地圖),1,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
安泰醫院,,,,,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
屏東基督教醫院,李洮俊診所,08-7668901,屏東縣屏東市崇禮里民族路１３０號（地圖),1,,,,,,,1
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東家醫,周昭宏內科診所,08-7332167,屏東縣屏東市福建路安樂里７２號（地圖),1,,,,,,,1
08-7364494,,,,,,,,,,,
972896890,,,,,,,,,,,
08-7364494,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東基督教醫院,宋的祥診所,08-7651318,屏東縣屏東市北興里公裕街１５８號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
屏東基督教醫院,洮俊診所,08-7363766,屏東縣屏東市大連里廣東路３９６號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,曾競鋒診所,08-7324355,屏東縣屏東市崇蘭里廣東路１０２０號１樓（地圖),1,,,,,,,1
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東基督教醫院,陳亮銘內科診所,08-7666551,屏東縣屏東市北興里公裕街１６０號１樓~２樓（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
安泰醫院,,,,,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
屏東基督教醫院,小太陽兒科聯合診所,08-7379591,屏東縣屏東市豐田里建豐路１６９號１樓（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
民眾醫院,前進診所,08-7517176,屏東縣屏東市清溪里清進路７３６號１樓（地圖),1,,,,,,,1
08-7325455#321,,,,,,,,,,,
08-7325455#322,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
衛生福利部屏東醫院,自由長芯診所,08-7521000,屏東縣屏東市自由路西段１９８號１樓、２樓、４樓（地圖),1,,,,,,,1
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
衛生福利部屏東醫院,常紳診所,08-7366839,屏東縣屏東市中正路４１７－１號１樓．２樓．３樓（地圖),1,,,,,,,1
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東基督教醫院,黃志忠診所,08-7884486,屏東縣潮州鎮中山路３３號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,張耳鼻喉科診所,08-7882248,屏東縣潮州鎮新生路３３號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
安泰醫院,嘉德骨外科診所,08-7883160,屏東縣潮州鎮介壽路８０號（地圖),1,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
安泰醫院,鄭天松診所,08-7898082,屏東縣潮州鎮愛國路２號（地圖),1,,,,,,,1
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
寶建社區醫療團隊,上好診所,08-7861900,屏東縣潮州鎮四維路２４６號（地圖),1,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
安泰醫院,,,,,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
寶建社區醫療團隊,王尹星診所,08-7800258,屏東縣潮州鎮三共里朝昇路２６７號１—２樓（地圖),1,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
安泰醫院,,,,,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
屏東基督教醫院,真善美診所,08-7895123,屏東縣潮州鎮榮祥路９０號（地圖),1,,,,,,,1
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
安泰醫院,林瑛豐兒科診所,08-8339868,屏東縣東港鎮朝隆路８８號（地圖),1,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
安泰醫院,順泰診所,08-8337303,屏東縣東港鎮興東里沿海路１７３巷２號（地圖),1,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
安泰醫院,正輝耳鼻喉科診所,08-8353183,屏東縣東港鎮中正路１５９號（地圖),1,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
恆春半島居家醫療整合照護團隊,邱外科診所,08-8892797,屏東縣恆春鎮山腳里恆南路２０９號（地圖),1,,,,,,,
965144238,,,,,,,,,,,
08-8894568#68,,,,,,,,,,,
08-8894565,,,,,,,,,,,
屏東基督教醫院,陳宗仁診所,08-7770066,屏東縣萬丹鄉萬全村萬丹路一段４４０號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
安泰醫院,,,,,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
屏東基督教醫院,天醫診所,08-7772933,屏東縣萬丹鄉萬丹路一段４０號（地圖),1,,,,,,1,1
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
安泰醫院,,,,,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東基督教醫院,慈愛診所,08-7764028,屏東縣萬丹鄉萬壽路二段２７１號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
屏東基督教醫院,禾興診所,08-7772313,屏東縣萬丹鄉萬全村丹榮路６３１號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
屏東基督教醫院,宏祥診所,08-7770558,屏東縣萬丹鄉寶厝村中興路２段３７０號１－３樓（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,安可診所,08-7775689,屏東縣萬丹鄉萬丹路１段３５７號１樓（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
民眾醫院,和合診所,08-7381258,屏東縣長治鄉新潭村長興路１３２號（地圖),1,,,,,,,
08-7325455#321,,,,,,,,,,,
08-7325455#322,,,,,,,,,,,
屏東基督教醫院,香楊診所,08-7223018,屏東縣長治鄉香楊路３６號１樓（地圖),1,,,,,,,1
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
寶建社區醫療團隊,里港米蘭診所,08-7751630,屏東縣里港鄉鐵店村永豐路２段５號１－２樓（地圖),1,,,,,,,1
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
屏東基督教醫院,杏元診所,08-7967788,屏東縣高樹鄉高樹村南興路５８–１號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,佑安診所,08-7966406,屏東縣高樹鄉高樹村南興路１１７及１１９號一樓（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,寶生診所,08-7960099,屏東縣高樹鄉高樹村南興路１４３之８號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,嘉誠診所,08-7962772,屏東縣高樹鄉高樹村南興路１１８－１號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,聖恩內科診所,08-7961072,屏東縣高樹鄉田子村勝利路１３２號１樓（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,賴家醫科診所,08-7814069,屏東縣萬巒鄉褒忠路１２６號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東龍泉居家醫療照護整合團隊,博仁診所,08-7797999,屏東縣內埔鄉東寧村南寧路１３７號（地圖),1,,,,,,1,1
08-7704115#765,,,,,,,,,,,
08-7704115#760,,,,,,,,,,,
安泰醫院,,,,,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
屏東基督教醫院,,,,,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
安泰醫院,陳永惠診所,08-8752078,屏東縣林邊鄉永樂村美華路３５－１號（地圖),1,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
安泰醫院,林子銘診所,08-8668615,屏東縣佳冬鄉石光村中山路１５４之４號（地圖),1,,,,,,,
08-8329966#2013,,,,,,,,,,,
08-8329966#1311,,,,,,,,,,,
衛生福利部屏東醫院,吳勇慶家醫科診所,08-8614722,屏東縣琉球鄉中山路75-3、75-5號（地圖),1,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
衛生福利部屏東醫院,力仁診所,08-8614722,屏東縣琉球鄉本福村中山路７５－３、７５－５號（地圖),1,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
恆春半島居家醫療整合照護團隊,安康診所,08-8801928,屏東縣滿州鄉滿州村中山路４０號 （地圖),1,,,,,,,
965144238,,,,,,,,,,,
08-8894568#68,,,,,,,,,,,
08-8894565,,,,,,,,,,,
屏東基督教醫院,宋金峰家庭醫學科診所,08-7964993,屏東縣三地門鄉青山村民族巷５２號（地圖),1,,,,,,,1
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
寶建社區醫療團隊,,,,,,,,,,,
08-7665995#1310,,,,,,,,,,,
08-7665995#1361,,,,,,,,,,,
965133326,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,,,,,,,,,,,
975106472,,,,,,,,,,,
衛生福利部屏東醫院,,,,,,,,,,,
08-7363011#4201,,,,,,,,,,,
975706581,,,,,,,,,,,
08-7363011#2109,,,,,,,,,,,
屏東基督教醫院,重仁診所,08-7995959,屏東縣瑪家鄉三和村美園巷９０號（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
屏東基督教醫院,晨安診所,08-7992011,屏東縣瑪家鄉三和村三和１０８號１樓（地圖),1,,,,,,,
08-7368686#7950,,,,,,,,,,,
08-7368686#1735,,,,,,,,,,,
部澎居家醫療整合照護團隊,周明河小兒科診所,06-9264080,澎湖縣馬公市陽明里陽明路３３號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,何家庭醫學專科診所,06-9279218,澎湖縣馬公市新生路８５號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,高植澎診所,06-9950655,澎湖縣馬公市鎖港里４０５號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,張維仁內科診所,06-9278066,澎湖縣馬公市永安街２３號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,慈輝家醫科診所,06-9260669,澎湖縣馬公市大勇街２７號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
惠民,公仁診所,06-9272002,澎湖縣馬公市長安里民生路２７－３號（地圖),1,,,,,,,
06-9272318#101,,,,,,,,,,,
06-9272318#201,,,,,,,,,,,
06-9272318#320,,,,,,,,,,,
部澎居家醫療整合照護團隊,,,,,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,徐政彥骨科診所,06-9268992,澎湖縣馬公市光復路８３號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,陳翠雯復健科診所,06-9261212,澎湖縣馬公市光復路１５７號１樓（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,江明儒耳鼻喉科診所,06-9276768,澎湖縣馬公市大勇街６５號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,陽明診所,06-9266633,澎湖縣馬公市北辰街１２號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,吳榮旗診所,06-9276116,澎湖縣馬公市陽明路４５－１號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,李明杰診所,06-9276695,澎湖縣馬公市陽明里海埔路９３號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,佳揚診所,06-9266848,澎湖縣馬公市中華路５２－１號１樓（地圖),1,,,,,,,1
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,松青診所,06-9213560,澎湖縣馬公市文山路３１號（地圖),1,,,,,,,1
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,正承復健科診所,06-9210308,澎湖縣馬公市東文里文學路２９３號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,惠安診所,06-9273718,澎湖縣馬公市建國路１９號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
部澎居家醫療整合照護團隊,育安家庭醫學科診所,06-9923379,澎湖縣湖西鄉龍門村良文港２３－３號（地圖),1,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
義大醫院居家醫療整合照護團隊,和沐診所,06-9921112,澎湖縣湖西鄉湖西村７５－１６號（地圖),1,,,,,,,
975106472,,,,,,,,,,,
部澎居家醫療整合照護團隊,,,,,,,,,,,
069261151#50522,,,,,,,,,,,
069261151#50723,,,,,,,,,,,
069261151#50140,,,,,,,,,,,
花蓮居家醫療照護團隊,謝煥益診所,03-8328825,花蓮縣花蓮市建國路３１２號（地圖),1,,,,,,,
0932-143725,,,,,,,,,,,
花蓮慈濟居家醫療整合團隊,曾內兒科診所,03-8335527,花蓮縣花蓮市中福路１０８號（地圖),1,,,,,,,1
03-8561825#12405,,,,,,,,,,,
花蓮醫院暨豐濱原住民分院居家醫療群,,,,,,,,,,,
03-8358141#3112,,,,,,,,,,,
03-8358141#3180,,,,,,,,,,,
原鄉醫療照護團隊,,,,,,,,,,,
0928-239037,,,,,,,,,,,
花蓮醫院暨豐濱原住民分院居家醫療群,呂小兒科診所,03-8329341,花蓮縣花蓮市博愛街２０１號（地圖),1,,,,,,,
03-8358141#3112,,,,,,,,,,,
03-8358141#3180,,,,,,,,,,,
花蓮居家醫療照護團隊,吳文揚診所,03-8355586,花蓮縣花蓮市林森路２５８－３號（地圖),1,,,,,,,1
0932-143725,,,,,,,,,,,
花蓮慈濟居家醫療整合團隊,,,,,,,,,,,
03-8561825#12405,,,,,,,,,,,
花蓮居家醫療照護團隊,嘉光耳鼻喉科診所,03-8341440,花蓮縣花蓮市明禮路７１之５號（地圖),1,,,,,,,1
0932-143725,,,,,,,,,,,
原鄉醫療照護團隊,國泰聯合診所,03-8542031,花蓮縣花蓮市中正路１９４號１、２樓（地圖),1,,,,,,,
0928-239037,,,,,,,,,,,
原鄉醫療照護團隊,北國泰聯合診所,03-8228875,花蓮縣花蓮市府前路５８２號１－２樓（地圖),1,,,,,,,
0928-239037,,,,,,,,,,,
原鄉醫療照護團隊,王清淵皮膚科診所,03-8346611,花蓮縣花蓮市商校街１７６號（地圖),1,,,,,,,
0928-239037,,,,,,,,,,,
花蓮醫院暨豐濱原住民分院居家醫療群,宏卿診所,03-8342233,花蓮縣花蓮市國光里林森路４１７號（地圖),1,,,,,,,
03-8358141#3112,,,,,,,,,,,
03-8358141#3180,,,,,,,,,,,
花蓮醫院暨豐濱原住民分院居家醫療群,陳耳鼻喉科診所,03-8321688,花蓮縣花蓮市國聯里１６鄰國聯二路８９號１樓（地圖),1,,,,,,,
03-8358141#3112,,,,,,,,,,,
03-8358141#3180,,,,,,,,,,,
花蓮居家醫療照護團隊,民安復健科診所,03-8355586,花蓮縣花蓮市林森路２５８之３號１-２樓、２５８之２號２樓（地圖),1,,,,,,,
0932-143725,,,,,,,,,,,
花蓮慈濟居家醫療整合團隊,美崙聯安診所,03-8310131,花蓮縣花蓮市正義街８之２號３、４樓（地圖),1,,,,,,,
03-8561825#12405,,,,,,,,,,,
花蓮居家醫療照護團隊,全人診所,03-8358568,花蓮縣花蓮市中福路１５８號（地圖),1,,,,,,,1
0932-143725,,,,,,,,,,,
原鄉醫療照護團隊,,,,,,,,,,,
0928-239037,,,,,,,,,,,
花蓮居家醫療照護團隊,至善診所,03-8338006,花蓮縣花蓮市中正路４６號（地圖),1,,,,,,,1
0932-143725,,,,,,,,,,,
原鄉醫療照護團隊,中正診所,03-8316655,花蓮縣花蓮市中正路１７０號１樓（地圖),1,,,,,,,1
0928-239037,,,,,,,,,,,
花蓮醫院暨豐濱原住民分院居家醫療群,陳瑞慶診所,03-8566710,花蓮縣花蓮市國富里莊敬路１９２號（地圖),1,,,,,,,
03-8358141#3112,,,,,,,,,,,
03-8358141#3180,,,,,,,,,,,
花蓮居家醫療照護團隊,慈田診所,03-8316818,花蓮縣花蓮市中華路１９０號（地圖),1,,,,,,,1
0932-143725,,,,,,,,,,,
花蓮居家醫療照護團隊,周耳鼻喉科診所,03-8568801,花蓮縣花蓮市中山路７４７號（地圖),1,,,,,,,
0932-143725,,,,,,,,,,,
國軍花蓮總醫院居家醫療照護整合團隊,德安復健科診所,03-8330688,花蓮縣花蓮市德安四街５５號（地圖),1,,,,,,,
